name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800.0
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800.0
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300.0
Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600.0
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600.0
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,,"North Indian, South Indian, Andhra, Chinese",800.0
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0
Penthouse Cafe,Yes,No,4.0,324,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700.0
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600.0
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500.0
Caf-Eleven,No,No,4.0,424,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450.0
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650.0
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800.0
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700.0
T3H Cafe,No,No,3.9,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300.0
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,,"Cafe, Chinese, Continental, Italian",400.0
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500.0
Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,,"Cafe, Fast Food",900.0
My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0
Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,,Cafe,300.0
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,,"Cafe, Bakery",600.0
Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",,"Cafe, South Indian",200.0
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,,"Cafe, Fast Food, Beverages",500.0
Cuppa,No,No,3.3,23,Banashankari,Cafe,,"Cafe, Fast Food",550.0
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600.0
Foodiction,Yes,No,2.8,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500.0
Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,,"Bakery, Desserts",500.0
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750.0
Faasos,Yes,No,4.2,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500.0
Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650.0
Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,,"North Indian, Chinese, Fast Food",400.0
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600.0
Empire Restaurant,Yes,No,4.4,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750.0
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,,South Indian,150.0
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200.0
Havyaka Mess,No,No,3.9,28,Banashankari,Mess,,South Indian,300.0
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500.0
Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800.0
Hotboxit,No,No,3.8,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400.0
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300.0
Recipe,Yes,No,4.0,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450.0
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850.0
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300.0
Petoo,No,No,3.7,21,Banashankari,Quick Bites,,North Indian,450.0
Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,,"Fast Food, Street Food, Beverages",150.0
Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400.0
Biryanis And More,Yes,No,4.0,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750.0
Roving Feast,No,No,4.0,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450.0
FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0
Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,,"Biryani, Fast Food",300.0
Wamama,Yes,Yes,4.2,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0
Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,,"Fast Food, Burger",200.0
XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,,"Desserts, Beverages",400.0
Peppy Peppers,No,No,4.2,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800.0
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800.0
Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,,Chinese,150.0
1947,No,Yes,4.0,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850.0
Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",,Bakery,150.0
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400.0
Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,,South Indian,100.0
Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0
Sugar Rush,No,No,3.8,39,Banashankari,Bakery,,"Bakery, Desserts",300.0
Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,,"Burger, Fast Food, Beverages",600.0
The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",,"Italian, North Indian, Biryani",500.0
The Biryani Cafe,No,No,4.1,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300.0
LSD Cafe,No,No,2.9,84,Banashankari,Delivery,,"Chinese, Continental, Italian, North Indian",700.0
Rolls On Wheels,No,No,3.6,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300.0
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150.0
Devanna Dum Biriyani Centre,Yes,No,3.6,28,Banashankari,Quick Bites,,"Biryani, South Indian",300.0
Kolbeh,No,No,3.7,22,Banashankari,Quick Bites,,Fast Food,500.0
Upahar Sagar,No,No,3.8,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350.0
Kadalu Sea Food Restaurant,Yes,No,3.8,153,Vijay Nagar,Fine Dining,,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0
Frozen Bottle,Yes,No,4.2,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400.0
Parimala Sweets,No,No,3.5,14,Banashankari,Sweet Shop,,"Mithai, Street Food",200.0
Vaishali Deluxe,No,No,3.8,42,Banashankari,Casual Dining,,"North Indian, Chinese",700.0
The Big O Bakes,No,No,4.0,66,Banashankari,Bakery,,"Bakery, Desserts",300.0
Meghana Foods,Yes,No,4.4,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600.0
Krishna Sagar,No,No,3.5,31,Banashankari,Quick Bites,,North Indian,200.0
Dessert Rose,No,No,3.5,7,Banashankari,Dessert Parlor,,Desserts,500.0
Chickpet Donne Biryani House,No,No,3.7,21,Banashankari,Quick Bites,,Biryani,250.0
Thanco's Natural Ice Creams,No,No,3.2,9,Banashankari,Dessert Parlor,,Ice Cream,300.0
Nandhini Deluxe,No,No,2.6,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600.0
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800.0
Kaggis,No,No,3.8,64,Banashankari,Quick Bites,,"Fast Food, Bakery",250.0
Ayda Persian Kitchen,No,No,3.7,39,Banashankari,Casual Dining,,"North Indian, Iranian",950.0
Chatar Patar,No,No,3.7,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300.0
Polar Bear,Yes,No,3.8,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400.0
Kidambi's Kitchen,No,No,3.5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300.0
Mane Thindi,No,No,3.7,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200.0
Kotian Karavali Restaurant,No,No,3.5,10,Banashankari,Quick Bites,,"South Indian, Biryani",300.0
Floured-Baked With Love,No,No,3.8,45,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400.0
Cakes & Slices,No,No,3.5,13,Banashankari,Bakery,,"Bakery, Desserts",300.0
Spice 9,No,No,3.4,8,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",300.0
Naveen Kabab & Biriyani Mane,No,No,3.2,9,Banashankari,Quick Bites,,Biryani,300.0
Katriguppe Donne Biryani,No,No,3.2,4,Banashankari,Quick Bites,,North Indian,300.0
Atithi Point Ande Ka Funda,No,No,3.1,29,Banashankari,Quick Bites,,North Indian,150.0
Just Bake,No,No,3.4,8,Banashankari,Bakery,,"Bakery, Desserts",400.0
K27 - The Pub,No,No,3.1,30,Banashankari,Bar,,"Chinese, North Indian",1000.0
Bengaluru Coffee House,Yes,No,4.1,201,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300.0
New Mangalore Lunch Home,No,No,3.3,7,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",200.0
Coffee Bytes,No,No,3.1,6,Banashankari,Quick Bites,,"Fast Food, South Indian",100.0
Parjanya Chat Zone,No,No,3.3,17,Banashankari,Quick Bites,,"Street Food, Fast Food",200.0
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",200.0
Ruchi Maayaka,No,No,3.3,8,Banashankari,Delivery,,South Indian,100.0
Anna Kuteera,Yes,No,4.0,771,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450.0
Darbar,No,No,3.0,98,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800.0
Vijayalakshmi,Yes,No,3.9,47,Basavanagudi,Quick Bites,,South Indian,200.0
Sri Udupi Food Hub,Yes,Yes,4.1,175,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500.0
Udupi Upahar,Yes,No,3.8,58,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",300.0
House Of Kebabs,Yes,No,3.8,540,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650.0
Roll N Rock,Yes,No,3.8,124,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400.0
BOX8- Desi Meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500.0
KFC,Yes,No,3.8,505,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450.0
Roll Over,Yes,No,4.1,438,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0
Imperial Restaurant,Yes,No,3.7,264,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750.0
Lassi Shop,Yes,No,3.9,169,Kumaraswamy Layout,Beverage Shop,,"Beverages, Juices, Ice Cream",150.0
The Fortuna,Yes,No,3.0,67,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",250.0
Wahab,Yes,No,3.7,97,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350.0
Al Diwan Biryanis And More,Yes,No,3.3,12,Basavanagudi,"Takeaway, Delivery",,Biryani,300.0
New Gowda's Fried Chicken,Yes,No,3.3,12,Banashankari,Quick Bites,,Biryani,300.0
Canton,Yes,No,3.6,195,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800.0
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3,13,Basavanagudi,"Dessert Parlor, Sweet Shop",,"Desserts, Mithai",300.0
The Blue Wagon - Kitchen,Yes,No,4.6,228,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400.0
HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,,"South Indian, Chinese",150.0
Patio 805,Yes,Yes,4.1,364,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200.0
Lassi Corner,Yes,No,3.7,107,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150.0
Sagar Deluxe,Yes,No,3.2,167,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300.0
Kanti Sweets,Yes,No,4.0,115,Banashankari,Sweet Shop,,"Mithai, Street Food",400.0
Vegetalia,Yes,No,3.7,27,Banashankari,"Takeaway, Delivery",,"Italian, Pizza",400.0
Aramane Donne Biryani,Yes,No,3.5,57,Banashankari,Quick Bites,,Biryani,200.0
Ande Ka Funda,Yes,No,3.8,120,Banashankari,Quick Bites,,"North Indian, Fast Food, Rolls",250.0
Cake Ghar,Yes,No,3.8,15,Basavanagudi,Bakery,,Bakery,400.0
Energy Addaa,Yes,No,4.2,64,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0
Bhattara Bhojana,Yes,No,3.6,66,Banashankari,Quick Bites,,South Indian,150.0
Tandoori Knight,Yes,No,3.0,290,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450.0
Dev Sagar - Food Street,Yes,No,4.1,233,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200.0
Mitraa Da Pizza,Yes,No,3.8,115,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250.0
Paradise Premium,Yes,No,3.1,119,Banashankari,Casual Dining,,"Biryani, Andhra, Hyderabadi, North Indian",700.0
Grazers,Yes,Yes,3.9,291,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650.0
Shakes Theory,Yes,No,4.5,155,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300.0
@Italy,Yes,No,4.1,305,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700.0
Chilli Flakes,Yes,No,3.6,46,Banashankari,Quick Bites,,"Fast Food, Italian, Beverages",500.0
Calcutta Cafe,Yes,No,3.5,45,Kumaraswamy Layout,Quick Bites,,"Bengali, Chinese, Sandwich",350.0
Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150.0
Donne Biriyani House,Yes,No,3.9,441,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400.0
By 2 Coffee,Yes,No,3.9,25,Basavanagudi,Quick Bites,,South Indian,100.0
Kedia's Fun Food,Yes,No,4.3,630,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200.0
Davangere Butter Dosa Hotel,Yes,No,3.8,25,Kumaraswamy Layout,Quick Bites,,South Indian,150.0
Just Shawarma,Yes,No,3.9,160,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300.0
Mini Punjabi Dhaba,Yes,No,4.2,287,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350.0
Mulabagilu Dosa,Yes,No,3.6,11,Basavanagudi,Quick Bites,,South Indian,100.0
Gokul Veg,Yes,No,3.8,469,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750.0
Olive - Era,Yes,No,3.3,511,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0
Udupi Ruchi,Yes,No,3.9,57,Banashankari,Quick Bites,,"South Indian, North Indian, Chinese, Street Food",200.0
Madhappa Hindu Military Hotel,Yes,No,3.4,14,Banashankari,Quick Bites,,South Indian,300.0
Gama Gama,Yes,No,3.9,264,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200.0
Pizza Hut,Yes,No,3.8,693,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750.0
Mangalore Pearl,Yes,No,3.8,242,Jayanagar,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650.0
Asha Sweets Centre,Yes,No,3.6,27,Basavanagudi,Dessert Parlor,,Fast Food,250.0
Twiststick House,Yes,No,4.1,163,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500.0
Cool Corner,Yes,No,4.2,191,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250.0
Pizza Mane,Yes,No,3.5,32,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150.0
Dal Tadkaa,Yes,No,2.5,247,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500.0
Chutney Chang,Yes,Yes,4.1,2339,Jayanagar,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",1500.0
Mystique Palate,Yes,No,4.1,337,Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300.0
Thamboola,Yes,No,3.9,135,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800.0
Castle Rock,Yes,No,3.6,172,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700.0
Vietnamese Kitchen,Yes,No,3.6,105,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700.0
C Corner,Yes,No,3.2,36,Kumaraswamy Layout,Quick Bites,,"Fast Food, Street Food",200.0
Paratha Merchant,Yes,No,3.1,39,Kumaraswamy Layout,Quick Bites,,North Indian,300.0
North Rasoe,Yes,No,3.1,5,Kumaraswamy Layout,Casual Dining,,"North Indian, Chinese, Biryani, Kebab",500.0
Toscano,Yes,Yes,4.3,1129,Jayanagar,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",1300.0
Lord Of The Kitchen,Yes,No,3.9,56,Kumaraswamy Layout,Quick Bites,,"North Indian, Chinese",350.0
Stoned Monkey,Yes,No,4.3,860,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500.0
Central Jail Restaurant,Yes,No,3.8,412,Jayanagar,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700.0
Bella,Yes,Yes,3.9,142,Jayanagar,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",1000.0
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,Quick Bites,,Andhra,400.0
