name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost
Reddy's Naati Mane,Yes,No,3.4,15,Banaswadi,Quick Bites,,"South Indian, BBQ",400.0
Wok N Roll,Yes,No,3.9,82,Nagawara,Quick Bites,"Momos, Shawarma","Chinese, Momos",400.0
Bangalore Vibes,Yes,No,3.2,4,Hennur,Quick Bites,,"North Indian, Chinese",300.0
"Cakes, Crumbs & Magic",No,No,3.3,4,Kalyan Nagar,Bakery,,Bakery,300.0
The Flavours,No,No,3.2,7,Kalyan Nagar,Casual Dining,,"Kerala, Chinese, Arabian, Biryani",500.0
Biryani Treats,No,No,2.6,45,Kalyan Nagar,Delivery,"Rice, Hyderabadi Chicken Biryani, Raita, Vegetable Biryani",Biryani,650.0
Chai Kada,No,No,3.6,10,Kalyan Nagar,"Beverage Shop, Quick Bites",,"Beverages, Fast Food",100.0
Paper Cup Cafe,No,No,3.5,11,Kalyan Nagar,Quick Bites,,"Tea, Coffee, Fast Food",400.0
OvenTreats - Patisserie.Bistro,No,No,4.0,81,Kalyan Nagar,Casual Dining,"Burgers, Chicken Steak, Cocktails, Beef Hash, Pork Ribs, French Toast",American,1000.0
Parantha Singh,No,No,3.7,31,Kalyan Nagar,Quick Bites,,North Indian,300.0
Crunchees Cafeteria,No,No,3.4,11,Kalyan Nagar,Quick Bites,,Fast Food,400.0
